"","專利號","公司全名","更新日期","計算終止日","申請日","獲證日","標題","專利摘要","主分支","公開發行","技術大類","PR","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","區域"
"1195","TW202533697A","台灣積體電路製造","2025-09-19","2025-09-15","2024-09-13",NA,"積體電路以及積體電路之製造方法","一種積體電路包括一第一電晶體、一第二電晶體、一虛置結構、一背面饋通孔和一第一金屬線。該第一電晶體包括一閘極金屬；該第二電晶體包括該閘極金屬；該虛置結構位於該第一電晶體和該第二電晶體之間，且包括多個半導體奈米結構和一虛置閘極金屬圍繞該半導體奈米結構；該背面饋通孔與該虛置閘極金屬的一底部相接觸；該第一金屬線在該虛置閘極金屬之上且與該背面饋通孔電性連接。","branch","Yes","半導體結構與製程",NA,"2330","半導體","2025-09-18",0.17,33.84,10,38.65,52.84,61.72,572.5,566.2,1187.2,1285,693,37.09308,54.1,"TW"
"1196","TW202533698A","友達光電","2025-09-19","2025-09-15","2024-02-05",NA,"薄膜電晶體及其製造方法","一種薄膜電晶體，包括第一源極/汲極、隔離結構、第二源極/汲極、半導體結構、閘介電層、突起結構以及閘極。第一源極/汲極位於基板之上。隔離結構位於第一源極/汲極上，且具有重疊於第一源極/汲極的第一通孔。第二源極/汲極設置於隔離結構上。半導體結構從第二源極/汲極沿著第一通孔的側壁延伸至第一源極/汲極。閘介電層位於半導體結構上。突起結構，位於第二源極/汲極之上，且具有重疊於第一通孔的第二通孔。閘極位於閘介電層上，且從突起結構上方延伸進入第二通孔中以及第一通孔中。第一源極/汲極、隔離結構、第二源極/汲極、突起結構以及閘極在第一方向上依序堆疊。","branch","Yes","半導體結構與製程",NA,"2409","光電業","2025-09-18",1.47,-9.16,1,-6.85,12.06,1303.87,13.5,14,12.9,13.7,13.6,0.11509,54.7,"TW"
"1197","TW202533708A","英屬開曼群島商海珀電子","2025-09-19","2025-09-15","2024-02-07",NA,"高電子遷移率電晶體及其製造方法","一種高電子遷移率電晶體及其製造方法，高電子遷移率電晶體包括磊晶層、源極、汲極、閘極結構及閘極金屬。源極、閘極結構與汲極位於磊晶層上，且閘極結構位於源極與汲極之間。閘極結構包括第一摻雜半導體層、電流抑制層與第二摻雜半導體層。第一摻雜半導體層位於磊晶層上，電流抑制層位於第一摻雜半導體層上，第二摻雜半導體層位於電流抑制層上，閘極金屬位於第二摻雜半導體層上，其中第一摻雜半導體層具有第一寬度(W1)，第二摻雜半導體層具有第二寬度(W2)，電流抑制層具有第三寬度(W3)，         ，        。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1198","TW202533713A","群創光電","2025-09-19","2025-09-15","2024-02-02",NA,"電子裝置","一種電子裝置，包括一軟性基板，其包括第一區以及位在第一區與軟性基板的邊緣之間的第二區。第一電子單元設置在軟性基板的第一區上。第一驅動電路單元設置在軟性基板的第一區上，且與第一電子單元電連接。第一驅動電路單元包括複數個第一電晶體以及第一布局。第二電子單元設置在該軟性基板的該第二區上。第二驅動電路單元，設置在軟性基板的第二區上，且與第二電子單元電連接。第二驅動電路單元包括複數個第二電晶體以及第二布局。第一布局與第二布局不同。","branch","Yes","半導體結構與製程",NA,"3481","光電業","2025-09-18",1.91,1.15,1,-1.11,-17.49,-313.73,13,13.1,13.6,13.8,13.2,0.12272,54.8,"TW"
"1199","TW202533718A","銓心半導體異質整合 | 鈺創科技","2025-09-19","2025-09-15","2025-02-07",NA,"半導體裝置及其製造方法","半導體裝置包括第一半導體元件及第二半導體元件。第一半導體元件包括第一基板、第一介電層及第一接墊。第一介電層位於第一基板之上方且具有第一開口。第一接墊位於第一開口內。第二半導體元件包括第二基板、第二介電層及第二接墊。第二介電層位於第二基板之上方並具有第二開口。第二接墊位於第二開口內。第一介電層與第二介電層接觸，且第一接墊與第二接墊接觸。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1200","TW202533722A","南韓商三星電子","2025-09-19","2025-09-15","2024-10-04",NA,"半導體裝置","一種半導體裝置，其包括：一第一井區，其在一基體中且摻雜有一第一傳導性類型之雜質；一第二井區，其在該基體中且摻雜有一第二傳導性類型之雜質，其中該第二井區係位於該第一井區在一第一方向上之內側，該第一方向平行於該基體之一上表面；一第一雜質區，其在該第一井區中且摻雜有該第一傳導性類型之雜質；複數個主動區，其沿著該第一方向在該第二井區中且摻雜有該第一傳導性類型之雜質；一閘極結構，其在該第一方向上在該等複數個主動區之間；一第一虛設閘極結構，其在該第一雜質區上且至少部分地環繞該第二井區；以及複數個佈線圖案。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1201","TW202533724A","美商高通公司","2025-09-19","2025-09-15","2024-12-16",NA,"用於靜電放電（ＥＳＤ）保護的緊湊型二極體","描述一種靜電放電(ESD)二極體。該ESD二極體包括在一基材上的離散第一類型區域。該ESD二極體亦包括在該基材上的一梳狀第二類型區域。該ESD二極體的該等離散第一類型區域之各者被放置在該基材上的該梳狀第二類型區域之兩個相鄰指部之間且被含在該兩個相鄰指部內。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1202","TW202534423A","日商HOYA | 新加坡商HOYA電子新加坡私人","2025-09-19","2025-09-15","2024-12-25",NA,"附導電膜基板、附多層反射膜基板、反射型遮罩基底、反射型遮罩及半導體裝置之製造方法","提供一種用於製造反射型遮罩之附導電膜基板，該反射型遮罩係在使用曝光裝置將反射型遮罩的圖案轉印至半導體基板等之上的被轉印對象時，能夠抑制反射型遮罩在曝光裝置內對靜電吸盤進行裝卸時產生微粒。 一種附導電膜基板，係具備：基板；以及導電膜，係形成在該基板之第1主表面上；該導電膜係包含第1區域；該第1區域係在藉由X射線光電子能譜法來分析該導電膜所得之以Ta4f峰值的最大強度值規格化後之Ta4f的頻譜中，Ta4f5/2峰值和Ta4f7/2峰值之間的最小強度值與根據該Ta4f5/2峰值及該Ta4f7/2峰值藉由線性內插所得之線性內插函數上的該最小強度值之鍵能的強度的內差值之差D會成為0.5以下。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1203","TW202534424A","力晶積成電子製造","2025-09-19","2025-09-15","2024-02-23",NA,"相位轉移光罩","本發明揭露提供一種相位轉移光罩，其包括透明基板、主特徵圖案以及橋接特徵圖案。主特徵圖案設置在透明基板上且包括多個第一相位轉移圖案，其中多個第一相位轉移圖案在第一方向上沿伸且在與第一方向交叉的第二方向上彼此間隔開來。橋接特徵圖案設置在透明基板上且包括在相鄰的兩個第一相位轉移圖案之間的多個第二相位轉移圖案，其中多個第二相位轉移圖案在第二方向上沿伸且在第一方向上彼此間隔開來。","branch","Yes","光學元件與光通訊",NA,"6770","半導體","2025-09-18",0.82,0.78,5,1.39,-274.28,23.84,17.7,24.9,20.6,22.4,21.2,0.10449,51.6,"TW"
"1204","TW202534425A","華邦電子","2025-09-19","2025-09-15","2024-02-20",NA,"光罩圖案","一種光罩圖案，包含中央區以及環繞中央區的邊緣區。光罩圖案更包含複數個條狀圖案，位於中央區及邊緣區之中。條狀圖案沿著第一方向延伸且在第二方向上排列，且第一方向與第二方向相交。在上視圖中，各條狀圖案的側壁在中央區中為沿著第一方向延伸的筆直側壁。在上視圖中，各條狀圖案的側壁在邊緣區中為沿著第一方向延伸的階梯狀側壁。","branch","Yes","光學元件與光通訊",NA,"2344","半導體","2025-09-18",0.58,0.21,4,-2.17,-33.03,-211.4,25.5,26.9,27.6,32.3,26.5,0.16179,53,"TW"
"1205","TW202534431A","日商東京威力科創","2025-09-19","2025-09-15","2024-10-08",NA,"光阻的選擇性鈍化","一種處理基板的方法包含在基板上方形成光阻層、將基板暴露於光化輻射的圖案，其中該暴露引起光阻層之曝光部分中的光反應。該方法包含利用接合劑處理光阻層，其中接合劑選擇性地吸附在光阻層的第一部分上，以及執行顯影製程以去除光阻的第二部分，第一部分在顯影製程之後保留。","branch",NA,"光學元件與光通訊",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1206","TW202534432A","日商東京威力科創","2025-09-19","2025-09-15","2024-10-28",NA,"光阻之乾式顯影中的終點偵測","一種終點偵測的方法包括在不使用電漿的情況下，在處理腔室中對晶圓進行表面處理，處理腔室包括配置為輸出表面處理的廢氣的出口。在電漿耦合器中由廢氣產生廢氣電漿。分析廢氣電漿以判斷表面處理的終點。一種系統包括配置為接收晶圓並在不使用電漿的情況下對晶圓進行表面處理的處理腔室。處理腔室包括配置為輸出表面處理的廢氣的出口。電漿耦合器配置為接收廢氣並從中產生廢氣電漿。偵測器配置為接收以及分析廢氣電漿。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1207","TW202534441A","日商佳能","2025-09-19","2025-09-15","2024-10-07",NA,"照明裝置、成形裝置、和用於製造物品的方法","一種照明裝置，包括：發光部；載台，在其上載置被該發光部的光照射的物體；感測器，架構成檢測從該發光部發射且被該物體反射的光量；調節單元，架構成調節該物體與該感測器之間的距離；和控制單元，架構成基於在該調節單元所調節該物體與該感測器之間的距離的狀態下的該感測器的檢測結果，來控制該發光部的光量。","branch",NA,"光學元件與光通訊",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1208","TW202534442A","日商佳能","2025-09-19","2025-09-15","2024-10-08",NA,"資訊處理設備、圖案形成設備、資訊處理方法及物品製造方法","提供與現有技術相比能夠提高圖案形成設備的生產能力的資訊處理設備，該資訊處理設備被配置為執行第一確定步驟，當在複數個單發區域中的每個形成圖案時，該第一確定步驟基於在將基板台從圖案形成位置移動到預定位置以便將基板搬出到該圖案形成設備中時由該基板台保持該基板的狀態以及該基板上該複數個單發區域的佈局確定最後形成圖案的最後單發區域，該預定位置是在將藉由該基板台保持的該基板傳遞至基板輸送單元的位置。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1209","TW202534443A","荷蘭商ASML荷蘭公司","2025-09-19","2025-09-15","2024-10-15",NA,"基板支撐件、基板支撐系統、及將基板夾持於基板支撐件上之方法","本發明提供一種基板支撐件，其經組態以支撐一基板。該基板支撐件包含具有一支撐表面之一主支撐主體以及一可撓性支撐元件。該可撓性支撐元件包含用以支撐該基板之一第一側及待支撐於該主支撐主體之該支撐表面上的一第二側。該基板支撐件進一步包含用以將該可撓性支撐元件夾持於該基板上之一第一夾持裝置及用以將該可撓性支撐元件夾持於該主支撐主體上之一第二夾持裝置。該可撓性支撐元件具有一可撓性，當運用該第一夾持裝置將該可撓性支撐元件夾持於該基板上時，該可撓性允許該可撓性支撐元件藉由該第一夾持裝置之一夾持力使該可撓性支撐元件之形狀適應於具有一非平面形狀之該基板。","branch",NA,"印刷電路板",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1210","TW202534579A","台達電子工業","2025-09-19","2025-09-15","2024-02-26",NA,"超參數最佳化系統及方法","提供一種超參數最佳化方法，其包含以下步驟：透過查找模型資料庫，從超參數集中選出符合硬體規格限制及效能限制的模型相關超參數組合；基於模型相關超參數組合，透過超參數調整器搜索各組模型非關超參數中的最佳超參數，以取得最佳超參數組合；以及基於該最佳超參數組合，建立機器學習模型。","decline","Yes","電機機械",NA,"2308","電子零組件","2025-09-18",0.1,26.71,8,19.91,24.78,42.16,395.1,417.5,736.1,892,472.3,2.57912,53.4,"TW"
"1211","TW202534622A","財團法人工業技術研究院","2025-09-19","2025-09-15","2024-02-21",NA,"多感測器協調方法、處理裝置與資訊顯示系統","一種多感測器協調方法、處理裝置與資訊顯示系統。多感測器協調方法適用於包括顯示器與多個影像感測器的資訊顯示系統，並包括下列步驟。獲取由多個影像感測器所擷取的多張影像。對多張影像或多張影像的拼接影像進行物件辨識處理，而獲取實際場景物件的多筆物件資訊。決定各個影像感測器的融合權重。根據各個影像感測器的融合權重對多筆物件資訊進行資訊融合處理，而獲取實際場景物件的物件融合資訊。根據物件融合資訊決定顯示器的顯示內容。","decline",NA,"電腦視覺與影像處理",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1212","TW202534628A","宏碁","2025-09-19","2025-09-15","2024-02-15",NA,"電子裝置及其人臉登入方法","一種電子裝置及其人臉登入方法。人臉登入方法適用於包括影像感測器與深度感測器的電子裝置，所述方法包括下列步驟。利用影像感測器朝合法用戶的人臉擷取原始註冊影像。將原始註冊影像轉換為灰階註冊影像。對灰階註冊影像進行銳利度弱化調整而獲取註冊模板影像。當接收登入請求，利用深度感測器獲取深度圖。透過比較註冊模板影像與深度圖，決定允許或拒絕登入請求。","decline","Yes","生物辨識與數位身份",NA,"2353","電腦及週邊","2025-09-18",0.76,-4.46,1,-0.9,-6.26,-50,33.7,35.1,32.4,31.35,34,0.10636,0,"TW"
"1213","TW202534672A","華邦電子","2025-09-19","2025-09-15","2024-02-26",NA,"記憶體陣列及記憶胞單元","提供一種記憶體陣列及記憶胞單元。記憶體陣列包括：多組字元線，每一組包括第一、第二與第三字元線；多組位元線，每一組包括第一與第二位元線；以及多個記憶胞單元，各記憶胞單元分別設置在各組字元線與各組位元線的交叉處。各記憶胞單元包括第一、第二與第三控制端以及第一端與第二端。各記憶胞單元的第一、第二與第三控制端分別耦接到相應一組字元線的第一、第二與第三字元線。各記憶胞單元的第一端與第二端分別耦接到相應一組位元線的第一與第二位元線。記憶體陣列在差動式模式下操作時，依據第一端與第二端的讀取電流進行讀取。記憶體陣列在單端式模式下操作時，依據第一端或第二端的讀取電流以及參考電流來進行讀取。","main","Yes","記憶體與儲存裝置",NA,"2344","半導體","2025-09-18",0.58,0.21,4,-2.17,-33.03,-211.4,25.5,26.9,27.6,32.3,26.5,0.16179,53,"TW"
"1214","TW202534673A","韓商愛思開海力士","2025-09-19","2025-09-15","2025-01-24",NA,"控制器、記憶體裝置及儲存裝置","本揭露提供了一種控制器、記憶體裝置及儲存裝置。針對記憶體的用於行定址的位址位元或用於列定址的位址位元的一部分用於定址。可以使用另一位址位元來執行定址，從而能夠在不改變或擴展位址位元的情況下容易地對各種類型的記憶體或擴展記憶體進行定址。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1215","TW202534676A","華邦電子","2025-09-19","2025-09-15","2024-02-19",NA,"記憶體儲存裝置及其操作方法","一種記憶體儲存裝置，包括記憶體陣列及控制器電路。記憶體陣列用以儲存資料。控制器電路耦接到記憶體陣列。控制器電路用以接收重置信號及觸發信號。控制器電路根據重置信號進行重置操作。控制器電路根據觸發信號在重置期間對記憶體陣列保持供電。","main","Yes","記憶體與儲存裝置",NA,"2344","半導體","2025-09-18",0.58,0.21,4,-2.17,-33.03,-211.4,25.5,26.9,27.6,32.3,26.5,0.16179,53,"TW"
"1216","TW202534681A","大陸商長江存儲科技有限責任公司","2025-09-19","2025-09-15","2024-07-30",NA,"記憶體裝置、記憶體系統及其操作方法","一種操作記憶體系統的方法包括：利用第一單讀取級的第一讀取電壓執行第一讀取操作；利用所述第一讀取電壓加第一偏移電壓執行第一移位讀取操作；利用所述第一讀取電壓減去所述第一偏移電壓執行第二移位讀取操作；以及回應於所述第一移位讀取操作的第一位翻轉資訊與所述第二移位讀取操作的第二位元翻轉資訊之間的差等於或低於閾值，確定所述第一讀取電壓是第一最佳讀取電壓。第一頁的所述第一單讀取級處於多級架構之下。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1217","TW202534684A","群聯電子","2025-09-19","2025-09-15","2024-02-22",NA,"記憶體管理方法、記憶體儲存裝置及記憶體控制電路單元","一種記憶體管理方法、記憶體儲存裝置及記憶體控制電路單元。所述方法包括：發送多個讀取指令序列，其包括第一讀取指令序列與第二讀取指令序列，其中第一讀取指令序列用以指示對可複寫式非揮發性記憶體模組中的第一實體單元執行第一讀取操作，且第二讀取指令序列用以指示對第一實體單元執行第二讀取操作；根據第一讀取操作所對應的第一讀取時間點與第二讀取操作所對應的第二讀取時間點之間的時間間隔，決定系統參數；以及根據所述系統參數指示可複寫式非揮發性記憶體模組執行特定操作。","main","Yes","記憶體與儲存裝置",NA,"8299","半導體","2025-09-18",0.34,23.48,5,12.55,-6.78,17.48,528.3,510.7,635.2,722,542.6,0.16608,53.1,"TW"
"1218","TW202534686A","大陸商長江存儲科技有限責任公司","2025-09-19","2025-09-15","2023-10-12",NA,"存儲系統及其操作方法、存儲器控制器和存儲器","本公開實施例提供了一種存儲系統及其操作方法、存儲器控制器和存儲器。所述存儲系統包括存儲器，所述存儲器包括存儲單元陣列以及與所述存儲單元陣列耦合的週邊電路，所述存儲單元陣列包括能存儲m個位元資訊的存儲單元，m為大於1的正整數；所述操作方法包括：所述週邊電路根據接收的首碼命令和接收的n組邏輯頁資料，確定第n+1組邏輯頁資料；其中，n為正整數，n+1為小於或等於m的正整數；將所述n組邏輯頁資料和所述第n+1組邏輯頁資料寫入所述存儲單元陣列，以在所述存儲單元陣列中產生2n個不同的資料態。

The embodiments of the present disclosure provide a memory system and an operation method thereof, a memory controller and a memory. The memory system includes a memory, the memory includes a memory cell array and a peripheral circuit coupled with the memory cell array, and the memory cell array includes memory cells capable of storing m pieces of bit information, where m is a positive integer greater than 1;","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1219","TW202534688A","日商鎧俠","2025-09-19","2025-09-15","2024-08-22",NA,"記憶體晶片及記憶體系統","本發明提供一種高精度地測定半導體記憶裝置之溫度並適當進行控制之記憶體晶片及記憶體系統。        為了達成上述課題，實施方式之記憶體晶片具備：記憶胞陣列；溫度感測器，其能夠輸出第1溫度資料；應力感測器，其能夠輸出第1應力資料；修正電路，其基於上述第1應力資料，由上述第1溫度資料產生第2溫度資料；及介面，其能夠將上述第2溫度資料向連接於外部之記憶體控制器發送。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1220","TW202534692A","群聯電子","2025-09-19","2025-09-15","2024-02-19",NA,"解碼參數更新方法、記憶體儲存裝置及記憶體控制電路單元","一種解碼參數更新方法、記憶體儲存裝置及記憶體控制電路單元。所述方法包括：發送至讀取指令序列至可複寫式非揮發性記憶體模組，以指示基於多個讀取電壓準位從第一實體單元讀取第一資料；根據多個解碼參數解碼第一資料以獲得第二資料，其中所述多個解碼參數分別對應多個電壓區間，且所述多個電壓區間是由所述多個讀取電壓準位所界定；根據第一資料與第二資料獲得對應於所述多個電壓區間中的第一電壓區間的第一錯誤評估資訊；以及根據第一錯誤評估資訊更新對應於所述第一電壓區間的第一解碼參數。","main","Yes","記憶體與儲存裝置",NA,"8299","半導體","2025-09-18",0.34,23.48,5,12.55,-6.78,17.48,528.3,510.7,635.2,722,542.6,0.16608,53.1,"TW"
"1221","TW202534693A","慧榮科技","2025-09-19","2025-09-15","2024-02-23",NA,"解碼器電路、解碼方法及快閃記憶體控制器","一種解碼器電路的解碼方法包括：使用記憶電路以接收輸入資料；接收輸入資料來產生或更新變數-檢查訊息及對數概似比率；將變數-檢查訊息從變數節點領轉換至檢查節點領域以產生轉換後變數-檢查訊息；根據轉換後變數-檢查訊息來產生檢查-變數訊息；將檢查-變數訊息從檢查節點領域轉換至變數節點領域以產生轉換後檢查-變數訊息，來更新變數-檢查訊息及更新對數概似比率；根據對數概似比率進行硬決策；依照解碼運算排程來將輸入資料的多個資料部分儲存於記憶電路的多個儲存位置；以及控制記憶電路空出儲存位置給縮減設定或削除設定。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1222","TW202534694A","慧榮科技","2025-09-19","2025-09-15","2024-02-23",NA,"解碼器電路、解碼方法以及快閃記憶體控制器","一種解碼方法包括：根據通道值來產生或更新變數-檢查訊息及產生對數概似比率；根據變數-檢查訊息以產生轉換後變數-檢查訊息；根據轉換後變數-檢查訊息來產生檢查-變數訊息；根據檢查-變數訊息以產生轉換後檢查-變數訊息，基於轉換後檢查-變數訊息以更新變數-檢查訊息及更新對數概似比率；根據對數概似比率來進行硬決策操作以決定是否要翻轉特定碼字內來產生輸出碼字；提供記憶電路以儲存所產生之輸出碼字；以及比對參考值與硬決策結果來產生差異值以及根據該差異值來選擇性地寫入硬決策結果值至該記憶電路中，減少讀寫次數。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1223","TW202534739A","美商蘭姆研究公司","2025-09-19","2025-09-15","2024-10-24",NA,"半導體處理系統用的溫控噴淋頭","本文提供一種噴淋頭組件，其包括噴淋頭和在半導體處理腔室內支撐噴淋頭的桿體。這種噴淋頭組件的桿體可以納入多個縱向通道，其可彼此流體連接而使流體沿著從桿體的一端到另一端的流動路徑循環。一些這樣的縱向通道可以透過對應的連接通道來端對端連接。桿體還可包括一或多個氣體通道和一或多個纜線通道，其係桿體內係與縱向通道流體隔離。","main",NA,"電機機械",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1224","TW202535164A","南韓商三星電子","2025-09-19","2025-09-15","2024-12-05",NA,"三維電感器和包含其的多晶片封裝","提供一種三維（3D）電感器及多晶片封裝。3D電感器包括：基板；多條第一水平配線，位於基板的上表面上方；多條第二水平配線，位於基板的背表面上方；以及多條豎直配線，其中所述多條豎直配線將所述多條第一水平配線連接至所述多條第二水平配線以形成螺線。","branch",NA,"晶圓封裝與測試",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1225","TW202535166A","聯華電子","2025-09-19","2025-09-15","2024-02-16",NA,"具有弧形側壁的MIM電容結構及其製作方法","一種具有弧形側壁的MIM電容結構包含一堆疊層，堆疊層包含至少一含矽材料層和至少一含氧矽化合物層交替堆疊，一溝渠設置在堆疊層中，溝渠具有一弧形側壁和一垂直側壁，垂直側壁和弧形側壁相連，一MIM電容設置於溝渠中並且接觸溝渠，一絶緣層填入溝渠並且將溝渠的開口封口以及一空氣間隙設置於絶緣層中。","branch","Yes","半導體結構與製程",NA,"2303","半導體","2025-09-18",0.68,-7.2,5,3.45,-15.54,-22.11,43.2,44.1,42.4,41.8,43.4,0.58423,0,"TW"
"1226","TW202535169A","台灣積體電路製造","2025-09-19","2025-09-15","2024-04-09",NA,"半導體裝置與其形成方法","半導體裝置包括堆疊或垂直配置的多個奈米結構電晶體層。奈米結構電晶體層各自包括至少一n型金氧半奈米結構電晶體與至少一p型金氧半奈米結構電晶體。可製造奈米結構電晶體層，使兩個或更多奈米結構電晶體層的n型金氧半奈米結構電晶體與p型金氧半奈米結構電晶體具有一或多種不同的特性如奈米結構通道的數量。這可最佳化不同奈米結構電晶體層的n型金氧半奈米結構電晶體與p型奈米結構電晶體的效能以用於不同的效能參數。","branch","Yes","半導體結構與製程",NA,"2330","半導體","2025-09-18",0.17,33.84,10,38.65,52.84,61.72,572.5,566.2,1187.2,1285,693,37.09308,54.1,"TW"
"1227","TW202535170A","台灣積體電路製造","2025-09-19","2025-09-15","2024-04-19",NA,"半導體裝置及其形成方法","本揭露涉及一種光調製器的結構以及形成該結構的方法。該結構包括在光波導中形成C形P-N接面的第一、第二、第三和第四摻雜區。形成此結構的方法包括透過在光波導的側表面上植入第一類型的摻雜劑並應用第一罩幕以形成第一摻雜區。方法還包括透過植入第一類型和第二類型摻雜劑，並應用第二罩幕以在光波導的頂部表面下的不同深度處形成第二、第三和第四摻雜區。由方法形成的P-N接面是自對準的，不受第一和第二罩幕的在線製程重疊和關鍵尺寸的影響，從而提供了P-N接面的改進輪廓以及可靠且一致的產品。","branch","Yes","半導體結構與製程",NA,"2330","半導體","2025-09-18",0.17,33.84,10,38.65,52.84,61.72,572.5,566.2,1187.2,1285,693,37.09308,54.1,"TW"
"1228","TW202535171A","台灣積體電路製造 | 大陸商台積電(南京)","2025-09-19","2025-09-15","2024-07-03",NA,"半導體裝置及其製造方法","一種製造半導體裝置的方法包括形成虛設閘極和閘極間隔件；形成層間介電層；形成溝槽，溝槽具有下部與上部，上部比下部更寬；以及在溝槽中形成閘極結構。閘極結構具有在溝槽上部中的上部與在溝槽下部中的下部。閘極結構的上部比閘極結構的下部更寬。第一閘極間隔件具有面向閘極結構下部的第一內側壁。第二閘極間隔件具有面向閘極結構下部的第二內側壁。第一內側壁與第二內側壁間隔開第一距離。閘極結構的上部比第一距離更寬。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1229","TW202535172A","台灣積體電路製造 | 大陸商台積電(中國)","2025-09-19","2025-09-15","2024-07-18",NA,"半導體裝置及其形成方法","一種半導體裝置包括一基板上方之一p型磊晶層、該p型磊晶層中的複數個n型井、接觸該些n型井中之一第一n型井的一p型井、該基板中的一第一n型嵌埋層、該p型井中的一源極區、該些n型井中之一第二n型井中的一汲極區，及側向地介於該源極區與該汲極區之間的一閘極結構。該些n型井中的每一者具有與該基板完全接觸的一底表面。該p型井與該第一n型嵌埋層的整體重疊。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"1230","TW202535173A","台灣積體電路製造","2025-09-19","2025-09-15","2024-08-12",NA,"半導體結構及其製造方法","本揭露提供了一種選擇性地將偶極摻雜劑擴散入高介電常數閘極介電層的方法。本揭露的方法包括控制直流功率和偏壓功率的回蝕製程，偏壓功率的週期性切換與直流功率的週期性切換同步，進而導致在閘極溝槽中的虛設材料內部達到平衡的蝕刻速率和均勻的凹槽深度，為後續跨不同裝置的選擇性擴散製程提供了擴散的條件。此外，在回蝕製程中，可以在凹槽的側壁及/或底部形成保護性的鈍化層作為阻障層。","branch","Yes","半導體結構與製程",NA,"2330","半導體","2025-09-18",0.17,33.84,10,38.65,52.84,61.72,572.5,566.2,1187.2,1285,693,37.09308,54.1,"TW"
"1231","TW202535178A","華邦電子","2025-09-19","2025-09-15","2024-02-19",NA,"半導體結構及其形成方法","提供半導體結構，半導體結構包含位於半導體基底之上的主動區、以及埋置於主動區中的閘極結構。閘極結構包含閘極介電層、以及嵌入閘極介電層內的閘極電極。此半導體結構還包含埋置於主動區中且位於閘極電極之上的絕緣結構。絕緣結構包含介電襯層、以及嵌入介電襯層內的介電填充層。介電襯層具有第一氫濃度，且介電填充層具有小於第一氫濃度的第二氫濃度。","branch","Yes","半導體結構與製程",NA,"2344","半導體","2025-09-18",0.58,0.21,4,-2.17,-33.03,-211.4,25.5,26.9,27.6,32.3,26.5,0.16179,53,"TW"
